CC.EST,GE.EST,PV.EST,RL.EST,RL.NO.SRC,RQ.EST,VA.EST
-1.363286018,-1.465614915,-0.721676469,-1.40028739,9,-1.286226392,-0.455601722
-1.539570451,-1.215559959,-0.221560776,-1.158342361,6,-1.714255929,-1.810531259
0.031950839,0.402936995,0.115181528,0.288973033,10,0.536497653,0.962944686
0.357770383,0.002467415,1.032623649,0.327690393,4,-0.122246236,0.684839725
1.009983063,0.766512632,1.910594583,1.701186657,1,1.375887871,1.281850576
-1.134097815,-0.713372231,-0.415829301,-1.10039258,12,-0.270502895,-0.378492922
0.895248592,1.272966623,0.316793531,1.160431504,2,1.176329136,1.281850576
1.265453935,0.632649243,0.889360964,1.118488073,1,0.525310516,1.114805102
-0.173186764,-0.446742803,-0.13755472,-0.433576524,8,-0.536126554,0.212521523
1.617110729,1.618365645,0.056606669,1.550236344,8,1.784205079,0.024801647
-0.988051236,-0.645809412,-0.448507726,-1.010333419,12,-0.49494037,-0.618947327
0.177110493,0.424775809,0.607283235,0.236185566,12,0.362314552,0.579596341
-1.346688509,-2.113319159,-1.027492881,-1.030540466,9,-1.256036758,-0.841260612
0.068954095,0.538535595,0.837046862,0.492385805,12,0.469366848,0.390373111
-0.454962939,0.31706503,-0.462311387,-0.365602732,11,0.216156706,0.099300832
-0.293598413,0.374532461,-0.84141922,-0.058424745,11,-0.128488675,0.127332792
1.535128117,1.435243845,0.965521574,1.456300735,9,1.467447162,1.389360428
-1.111130714,-1.017594695,-1.699206352,-0.886826217,10,-1.485808253,-1.475963116
-1.333770752,-1.303391814,-2.474769592,-1.799864292,8,-1.33956039,-1.007549524
1.666864395,1.475929976,1.37503159,1.75022161,8,1.443012118,1.38175416
0.536611319,1.05196321,-0.887818515,0.93562603,8,1.234421492,0.651662648
0.50953573,0.360754579,0.399345398,0.206682667,10,0.487740815,1.054613113
-0.045829266,0.528545618,0.258682191,-0.24139446,8,0.042481516,0.624157548
1.009983063,1.186109662,1.328798771,1.701186657,1,0.932986319,1.281850576
0.039052609,0.094962642,-0.268401831,0.186624512,11,0.252726197,-0.747906148
1.463714361,1.547300577,1.02614522,1.471480489,9,1.347087026,0.982900321
-0.378142864,0.105691098,-0.257566839,-0.467089862,11,0.106146552,-1.179640412
-0.875347614,-0.399473369,-1.007240057,-0.579112709,14,-0.517190576,-0.341349542
-1.124958396,-0.576322258,-0.455792576,-0.962204278,12,-0.450061172,-0.576768875
-1.272041559,-0.450370342,-0.209065959,-0.964125931,11,-0.661108851,-1.357135892
0.467278957,0.134626627,1.157592416,1.011369348,3,-0.430563331,1.116667986
0.340769291,0.632649243,0.929578841,0.482425004,2,0.514629245,0.811540484
0.698268294,1.370186806,0.608337879,1.147423029,10,1.024950743,0.822828948
-0.091237791,-0.195234433,0.225232258,0.310027808,8,0.273751527,-0.678229034
-1.083155751,-0.73933655,0.693948686,-0.882887125,9,-0.840734363,-1.792704105
-1.179520607,-1.205427647,-1.621175408,-0.905838549,10,-0.768814564,-0.55613327
-0.904334426,-1.459123373,-0.309115261,-1.034794569,13,-1.038943887,-0.074800827
-1.583548188,-1.85938096,-2.462357283,-1.882964015,7,-2.221005201,-1.361994028
0.540252924,0.307117879,0.864731133,0.660915732,4,0.372113407,0.872128904
1.959190845,1.761576295,1.669218183,1.715702534,2,1.620551705,1.260391831
-0.330326974,-0.079082653,-0.089128852,-0.005844791,9,-0.225914791,-0.052089635
